,0
2024-04-09,984373.3261182727
2024-04-10,984692.6752285128
2024-04-11,996925.3472900909
2024-04-12,977776.2322941897
2024-04-15,984433.164649724
2024-04-16,985666.9075616421
2024-04-17,984025.727788138
2024-04-18,985294.0231645847
2024-04-19,971076.850502852
2024-04-22,970042.3377743213
2024-04-23,973238.3899983028
2024-04-24,984690.5513120854
2024-04-25,981418.9007047217
2024-04-26,976005.0023879614
2024-04-29,972884.0422832401
2024-04-30,980195.2927859672
2024-05-01,983214.6499942607
2024-05-02,979862.504877624
2024-05-03,984247.5612516386
2024-05-06,985555.7004637975
2024-05-07,993358.8435989247
2024-05-08,988678.3508386381
2024-05-09,986817.9993594005
2024-05-10,984480.4042244835
2024-05-13,974174.9666969236
2024-05-14,976935.4833625248
2024-05-15,979444.8696052344
2024-05-16,980065.7320626681
2024-05-17,978911.1421548494
2024-05-20,969020.2640732651
2024-05-21,966515.7908317538
2024-05-22,964587.1664293021
2024-05-23,959311.4456547607
2024-05-24,958712.8666965105
2024-05-27,962211.7616657619
2024-05-28,976503.938752768
2024-05-29,978373.8679365132
2024-05-30,980861.0274158829
2024-05-31,980892.885653397
2024-06-03,967249.3434805096
2024-06-04,967631.2251631349
2024-06-05,968647.7562964729
2024-06-06,987260.9024117612
2024-06-07,986412.9695745885
2024-06-10,989248.6323847041
2024-06-11,989577.8956607267
2024-06-12,981424.627334288
2024-06-13,990487.2658011897
2024-06-14,996706.8498664357
2024-06-17,1003260.0753627266
2024-06-18,996960.520165705
2024-06-19,1008125.8462622475
2024-06-20,998042.8136307283
2024-06-21,1003064.4268633892
2024-06-24,1020270.5188103664
2024-06-25,1013238.2912946311
2024-06-26,1009503.930277098
2024-06-27,1010865.2782365248
2024-06-28,1007619.713193415
2024-07-01,996408.2554807625
2024-07-02,997517.7814498136
2024-07-03,990101.2136308043
2024-07-04,994235.1439849815
2024-07-05,987916.8235622683
2024-07-08,1000079.7007400147
2024-07-09,994753.6760235586
2024-07-10,992924.0075526165
2024-07-11,999621.1312655648
2024-07-12,990915.2093584165
2024-07-15,993208.8546150303
2024-07-16,1003614.0170212749
2024-07-17,992016.0597659501
2024-07-18,993991.1031049888
2024-07-19,996535.4890895148
2024-07-22,1003018.215022775
2024-07-23,994236.5594786551
2024-07-24,984904.1822101612
2024-07-25,989376.3814149386
2024-07-26,992186.4390873646
2024-07-29,994655.7788646056
2024-07-30,997852.7421813695
2024-07-31,993317.2364232445
2024-08-01,995652.4368609821
2024-08-02,998450.8751026507
2024-08-05,993653.5672122112
2024-08-06,1008259.4476248304
2024-08-07,1012471.0262844507
2024-08-08,1003955.9729598354
2024-08-09,1009536.2783801013
2024-08-12,1002699.0296008956
2024-08-13,1009261.7332979785
2024-08-14,1018701.7594147824
2024-08-15,1012988.332799156
2024-08-16,1020968.3278064409
2024-08-19,1024761.8056725446
2024-08-20,1031739.8482235117
2024-08-21,1047147.4851558335
2024-08-22,1045828.3707417902
2024-08-23,1040492.0610270854
2024-08-26,1034115.0319388474
2024-08-27,1028353.2449492869
2024-08-28,1028366.0005975887
2024-08-29,1031630.1418740063
2024-08-30,1034401.95043471
2024-09-02,1041485.6960593773
2024-09-03,1042207.9905098544
2024-09-04,1054279.8053354495
2024-09-05,1052798.142094139
2024-09-06,1075073.0179972108
2024-09-09,1080797.6083902551
2024-09-10,1074437.9099462961
2024-09-11,1066379.6811934048
2024-09-12,1070903.6762112288
2024-09-13,1069732.127098514
2024-09-16,1076142.5765703248
2024-09-17,1080632.8657145612
2024-09-18,1080681.1735301898
2024-09-19,1074406.8242993448
2024-09-20,1062743.1384171348
2024-09-23,1059788.6086881158
2024-09-24,1067280.2591053613
2024-09-25,1069642.827698844
2024-09-26,1060206.8002925736
2024-09-27,1062225.8187286605
2024-09-30,1065952.0683447765
2024-10-01,1059464.581611862
2024-10-02,1061326.3688346052
2024-10-03,1062425.1118900075
2024-10-04,1053878.108792906
2024-10-07,1057355.7551278768
2024-10-08,1062467.4047622017
2024-10-09,1071798.3504388991
2024-10-10,1080974.2656748628
2024-10-11,1070360.2188832373
2024-10-14,1063409.2430591702
2024-10-15,1068182.3966667997
2024-10-16,1072966.8869052
2024-10-17,1077783.0410973588
2024-10-18,1109813.837658859
2024-10-21,1115263.8722937636
2024-10-22,1125501.2222881801
2024-10-23,1134287.8005045275
2024-10-24,1140548.267353064
2024-10-25,1138508.997409133
2024-10-28,1145718.6126078167
2024-10-29,1139707.2889546358
2024-10-30,1138345.4045024058
2024-10-31,1134846.3977207947
2024-11-01,1136224.2696749058
2024-11-04,1156781.3075160296
2024-11-05,1141141.6705160388
2024-11-06,1147740.75302878
2024-11-07,1134431.8404963743
2024-11-08,1131060.0464638835
2024-11-11,1141043.8352988118
2024-11-12,1142277.4741180225
2024-11-13,1133651.2840348135
2024-11-14,1128196.211084364
2024-11-15,1134663.611880194
2024-11-18,1129074.4691971566
2024-11-19,1131594.011554712
2024-11-20,1132657.40306478
2024-11-21,1127752.5462275946
2024-11-22,1146700.9678817957
2024-11-25,1152878.4930860477
2024-11-26,1135915.7296104687
2024-11-27,1138192.9001367884
2024-11-28,1133176.4317617742
2024-11-29,1141152.8928680893
2024-12-02,1134995.624905722
2024-12-03,1134686.8063552359
2024-12-04,1139693.706192964
2024-12-05,1147830.8140561804
2024-12-06,1138099.3323734645
2024-12-09,1135898.9839647566
2024-12-10,1132496.9540247237
2024-12-11,1127577.9912322564
2024-12-12,1143297.3504801372
2024-12-13,1147477.9453766155
2024-12-16,1137223.9118367624
2024-12-17,1145791.3271880082
